roll,p26,q26
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,10
27,0,10
28,0,10
29,0,10
30,0,10
31,0,10
32,0,10
33,0,10
34,0,10
35,0,10
36,10,10
37,10,10
38,10,10
39,10,10
40,10,10
41,10,10
42,10,10
43,10,10
44,10,10
45,10,10
46,10,10
47,10,10
48,10,10
49,10,10
50,10,10
51,10,10
52,10,10
53,10,10
54,10,10
55,10,10
56,10,10
57,10,10
58,10,10
59,10,10
60,10,10
61,20,10
62,20,10
63,20,10
64,20,10
65,20,10
66,20,10
67,20,10
68,20,10
69,20,10
70,20,10
71,20,10
72,20,10
73,20,10
74,20,10
75,20,10
76,20,10
77,20,10
78,20,10
79,20,10
80,20,10
81,20,10
82,20,10
83,20,10
84,20,10
85,20,10
86,20,10
87,20,10
88,20,10
89,20,10
90,20,10
91,20,10
92,20,10
93,20,10
94,20,10
95,20,10
96,20,10
97,20,10
98,20,10
99,20,10
100,20,10